ingredient,calories,protein,fat,carbohydrates,fiber,calcium
nasi,180,3.0,0.3,39.8,0.2,25.0
nasi tim,120,2.4,0.4,26.0,0.5,3.0
tapai beras,99,1.7,0.3,22.4,0.0,4.0
tepung beras. mentah,353,7.0,0.5,80.0,2.4,5.0
nasi beras merah,149,2.8,0.4,32.5,0.3,6.0
bihun. mentah,348,4.7,0.1,82.1,1.2,6.0
bihun goreng instan,381,6.1,3.9,80.3,0.0,266.0
bihun jagung. mentah,354,0.5,0.3,87.4,3.0,13.0
nasi jagung,357,8.8,0.5,79.5,6.2,5.0
jagung muda. rebus,142,5.0,0.7,30.3,0.8,5.0
jagung kuning. tepung,355,9.2,3.9,73.7,7.2,10.0
jagung kuning pipil. rebus,154,3.8,3.5,28.4,0.7,7.0
tepung jagung putih,355,9.2,3.9,73.7,7.2,10.0
ketupat ketan,212,4.0,4.6,38.6,0.2,8.0
ketan hitam. matang,181,4.0,1.2,37.3,0.3,9.0
tapai ketan hitam,166,3.8,1.0,34.4,0.3,8.0
ketan putih. matang,163,3.0,0.4,35.7,0.2,4.0
tapai ketan putih,172,3.0,0.5,37.5,0.6,6.0
maizena. tepung,341,0.3,0.0,85.0,7.0,20.0
makaroni. mentah,353,8.7,0.4,78.7,4.9,20.0
mi basah,88,0.6,3.3,14.0,0.1,14.0
mi kering,339,10.0,1.7,6.3,0.4,31.0
misoa,345,8.5,2.2,78.0,0.5,52.0
roti putih,248,8.0,1.2,50.0,9.1,10.0
tepung terigu,333,9.0,1.0,77.2,0.3,22.0
amparan tatak,191,1.3,5.5,34.0,0.0,0.0
apang kukus. kue,202,3.0,0.3,46.7,0.0,0.0
apem. kue,148,2.0,0.5,33.9,0.0,0.0
biskuit,458,6.9,14.4,75.1,2.1,62.0
bakpia. kue,272,8.7,6.7,44.1,0.9,194.0
bakwan,280,8.2,10.2,39.0,3.4,204.0
bantal,190,3.3,0.3,43.5,3.4,9.0
baruasa,417,6.5,8.2,79.3,0.0,0.0
batar daan,107,2.2,2.2,19.6,0.0,20.0
bika ambon,199,2.1,1.5,44.4,0.3,45.0
bingka,273,5.3,10.6,39.1,0.0,0.0
bobengka,225,5.3,2.6,45.2,0.0,0.0
bolu peca,197,3.3,4.6,35.6,0.0,0.0
brem,249,3.4,0.4,58.0,0.0,198.0
bubur tinotuan (manado),156,2.3,0.2,15.6,8.2,41.0
terasi,155,22.3,2.9,9.9,2.7,3.812
terasi dobo,191,33.1,3.6,6.6,1.6,2.25
terasi merah,174,30.0,3.5,5.6,2.2,100.0
asam arang coklat. segar,130,0.5,1.1,30.9,1.5,79.0
asam arang merah. segar,99,0.8,1.6,20.3,2.8,69.0
asam kandis. kering,261,0.9,1.6,63.3,5.0,192.0
asam kandis. segar,75,0.2,1.1,16.1,3.4,63.0
asam masak pohon. segar,267,2.8,0.6,62.5,1.2,74.0
asam payak. segar,135,0.8,0.4,32.1,10.0,60.0
bawang merah. segar,46,1.5,0.3,9.2,1.7,36.0
bawang putih. segar,112,4.5,0.2,23.1,0.6,42.0
boros kunci. segar,40,1.0,0.8,7.2,1.0,50.0
boros laja (lengkuas). segar,26,1.0,0.3,4.7,1.1,50.0
cabai gembor merah. segar,38,1.6,0.8,6.3,1.6,49.0
cabai hijau. segar,26,0.7,0.3,5.2,2.6,14.0
cabai merah. kering,367,15.9,6.2,61.8,26.9,160.0
cabai merah. segar,36,1.0,0.3,7.3,1.4,29.0
cabai rawit. segar,120,4.7,2.4,19.9,15.2,45.0
cengkeh. kering,330,5.2,8.9,57.4,10.0,740.0
daun salam. bubuk,301,14.2,10.9,49.0,9.4,86.0
