Title,ingredients_list,category
Lumpia udang kulit tahu ala fe',"['/2 sendok teh garam halus/sesuai selera', '/2 sendok teh gula', '/4 sendok teh merica bubuk', ', kocok lepas', '/ kulit tahu direndam sebentar']",udang
Bakso Ayam Udang Keto,"['/2 sdt baking powder', 'secukupnya garam, lada', 'secukupnya bawang merah & putih', '/2 sdt minyak wijen', 'karageenan secukupnya', 'es batu 8 keping kotak']",udang
Udang ala pop corn,"['/4 kg udang basah ukuran sedang', 'secukupnya air matang', 'minyak untuk menggoreng']",udang
Bakwan Udang Sederhana,"['/2 kg tepung terigu', '/2 udang segar', '/2 sdm picin', '/2 bks penyedap rasa', '/2 sdm merica bubuk', '/2 ltr air putih es', 'minyak makan', 'daun bawang', 'wortel']",udang
Udang Goreng Tepung Mayonaise,"['jeruk nipis', 'tepung bumbu kobe', 'sedikit garam', 'bahan saos:', 'mayonaise 2 sachet @30 ml', '-2 sdm saos sambal/tomat']",udang
Udang saus asam manis,['/2 sdt garam'],udang
Tekwan Kuah Udang,"['untuk tekwan :', '/4 ekor ikan tenggiri 🌸', 'untuk kuah tekwan :', '/2 kg udang', 'bahan tambahan :', 'bihun \\ soun', 'daun bawang', 'sambal cair']",udang
Sambal udang goreng,"['/4 kg udang', 'minyak goreng', 'garam', 'gula pasir', 'penyedap rasa', 'daun jeruk', 'bumbu dihaluskan:']",udang
Udang asam manis oregano,"['/2 kg udang vaname', '-6 sdm saos tomat', 'sedikit garam', 'sedikit air', 'minyak untuk menumis']",udang
Tumis buncis pakai udang,"['/4 kg buncis', 'cabai merah keriting', '/2 sdt kaldu jamur /royco', 'sejumput gula pasir', 'secukupnya garam', 'secukupnya lada']",udang
Udang saos padang,"['secukupnya jahe memarkan', 'secukupnya lengkuas memarkan', 'secukupnya air', 'secukupnya minyak', 'garam', 'gula', 'bumbu halus', 'secukupnya merica']",udang
Udang Goreng Mentega,['/2 buah bawang bombai'],udang
Udang goreng mentega,"['/2 udang', 'secukupnya mentega', 'secukupnya garam', 'secukupnya penyedap rasa', 'secukupnya gula', 'perasan jeruk nipis']",udang
Udang pete balado,"[', kupas, buang kepala dan kulitnya', ', buka, bersihkan dr kulitnya, potong mjd 2', 'garam secukupnyag', 'secukupnya gula pasir', ', bersihkam, geprek', 'minyak goreng', ', belah 2, peras ambil airnya']",udang
Bakso udang debm,"['secukupnya garam', 'secukupnya air es']",udang
Oseng Udang Pedas 🍤🌶️,"['secukupnya lada bubuk', 'secukupnya royco bubuk', 'secukupnya gula garam']",udang
Udang Goreng Tepung,"['/2 sdt merica bubuk', 'bahan perendam:', '/2 sdt merica', '/2 sdm saos tiram', 'secukupnya garam']",udang
