user_id,age,gender,weight,height,activity_level,goal,bmr,tdee,target_calories,calorie_category,nutrient_category,bmi
1,56,Perempuan,46.7,162.2,Rendah,Menurunkan berat badan,1039.5,1429.3,1200.0,Defisit,Rendah,17.75068760158183
2,41,Laki-laki,93.7,176.1,Sangat Rendah,Menaikkan berat badan,1837.8,2205.3,2705.3,Surplus,Sangat Tinggi,30.214880361004944
3,61,Perempuan,53.0,156.3,Rendah,Menurunkan berat badan,1041.3,1431.8,1200.0,Defisit,Rendah,21.694913034099077
4,39,Laki-laki,44.1,165.5,Sedang,Menurunkan berat badan,1285.6,1992.8,1492.8,Defisit,Rendah,16.100619746077527
5,45,Perempuan,51.6,145.0,Sedang,Menurunkan berat badan,1036.0,1605.8,1200.0,Defisit,Rendah,24.542211652794293
6,20,Laki-laki,52.7,173.0,Sangat Rendah,Menaikkan berat badan,1513.6,1816.4,2316.4,Surplus,Tinggi,17.60833973737846
7,31,Perempuan,58.3,159.8,Rendah,Menurunkan berat badan,1265.7,1740.4,1240.4,Defisit,Rendah,22.83047802243417
8,24,Perempuan,53.6,160.0,Tinggi,Menurunkan berat badan,1254.7,2164.4,1664.4,Defisit,Sedang,20.937499999999996
9,57,Perempuan,62.5,146.3,Sedang,Menurunkan berat badan,1093.3,1694.7,1200.0,Defisit,Rendah,29.200572424661352
10,35,Perempuan,40.0,152.7,Tinggi,Mempertahankan berat badan,1018.3,1756.6,1756.6,Maintenance,Sedang,17.15465219157115
11,32,Perempuan,69.4,178.6,Sangat Tinggi,Menaikkan berat badan,1489.5,2830.0,3330.0,Surplus,Sangat Tinggi,21.756877242306405
12,62,Perempuan,88.1,167.5,Sangat Tinggi,Mempertahankan berat badan,1456.7,2767.8,2767.8,Maintenance,Sangat Tinggi,31.401202940521273
13,62,Laki-laki,57.3,165.9,Sangat Rendah,Mempertahankan berat badan,1305.3,1566.4,1566.4,Maintenance,Sedang,20.819095143264803
14,18,Perempuan,67.6,153.7,Sedang,Mempertahankan berat badan,1385.7,2147.8,2147.8,Maintenance,Tinggi,28.6153433269739
15,59,Laki-laki,79.9,171.9,Tinggi,Mempertahankan berat badan,1583.9,2732.2,2732.2,Maintenance,Sangat Tinggi,27.039273953192613
16,50,Perempuan,77.6,152.1,Sedang,Mempertahankan berat badan,1316.1,2040.0,2040.0,Maintenance,Tinggi,33.54310743174345
17,39,Laki-laki,40.0,178.6,Sangat Tinggi,Menaikkan berat badan,1326.0,2519.4,3019.4,Surplus,Sangat Tinggi,12.53998688317372
18,22,Perempuan,50.6,154.1,Sangat Rendah,Mempertahankan berat badan,1198.5,1438.2,1438.2,Maintenance,Rendah,21.308125175549897
19,43,Perempuan,43.4,158.0,Tinggi,Mempertahankan berat badan,1046.0,1804.4,1804.4,Maintenance,Sedang,17.38503444960743
20,49,Perempuan,57.4,162.5,Sedang,Mempertahankan berat badan,1183.3,1834.1,1834.1,Maintenance,Sedang,21.737278106508874
21,53,Laki-laki,66.8,166.6,Rendah,Menaikkan berat badan,1449.3,1992.8,2492.8,Surplus,Tinggi,24.06724994919937
22,62,Perempuan,71.0,162.3,Tinggi,Menurunkan berat badan,1253.2,2161.8,1661.8,Defisit,Sedang,26.953881150087934
23,47,Perempuan,76.5,161.2,Tinggi,Menurunkan berat badan,1376.3,2374.1,1874.1,Defisit,Sedang,29.439563078400834
24,50,Laki-laki,64.1,158.3,Tinggi,Menaikkan berat badan,1385.5,2390.0,2890.0,Surplus,Sangat Tinggi,25.57974435419924
25,56,Perempuan,40.0,162.4,Rendah,Menurunkan berat badan,974.1,1339.4,1200.0,Defisit,Rendah,15.166589822611565
26,61,Perempuan,58.1,162.8,Sedang,Mempertahankan berat badan,1132.3,1755.1,1755.1,Maintenance,Sedang,21.921351773931626
27,29,Perempuan,73.0,167.0,Rendah,Menaikkan berat badan,1468.4,2019.0,2519.0,Surplus,Sangat Tinggi,26.175194521137367
28,19,Perempuan,54.7,159.4,Rendah,Mempertahankan berat badan,1287.3,1770.0,1770.0,Maintenance,Sedang,21.528347362836485
29,19,Laki-laki,75.1,169.9,Rendah,Mempertahankan berat badan,1723.1,2369.3,2369.3,Maintenance,Tinggi,26.016758117938707
30,28,Perempuan,69.5,153.6,Rendah,Mempertahankan berat badan,1354.1,1861.9,1861.9,Maintenance,Sedang,29.45793999565972
31,23,Perempuan,49.4,160.5,Tinggi,Menurunkan berat badan,1221.7,2107.4,1607.4,Defisit,Sedang,19.17683252297629
32,23,Perempuan,61.2,156.5,Sedang,Menurunkan berat badan,1313.9,2036.6,1536.6,Defisit,Sedang,24.987496044667193
33,20,Laki-laki,79.7,160.2,Rendah,Mempertahankan berat badan,1703.7,2342.6,2342.6,Maintenance,Tinggi,31.055126160962974
34,56,Perempuan,65.8,166.5,Sedang,Menurunkan berat badan,1257.4,1948.9,1448.9,Defisit,Rendah,23.73544715887058
35,48,Perempuan,47.7,165.2,Rendah,Menaikkan berat badan,1108.1,1523.6,2023.6,Surplus,Tinggi,17.478263928380894
36,19,Laki-laki,73.9,176.3,Rendah,Menurunkan berat badan,1750.6,2407.0,1907.0,Defisit,Sedang,23.776055935182416
37,33,Laki-laki,65.7,178.5,Tinggi,Menaikkan berat badan,1612.9,2782.3,3282.3,Surplus,Sangat Tinggi,20.62001271096674
38,25,Perempuan,62.7,165.9,Sangat Rendah,Menurunkan berat badan,1378.2,1653.9,1200.0,Defisit,Rendah,22.78110410964578
39,52,Laki-laki,98.0,173.8,Sedang,Menurunkan berat badan,1811.1,2807.1,2307.1,Defisit,Tinggi,32.44341272920608
40,50,Perempuan,51.0,152.1,Sedang,Mempertahankan berat badan,1049.4,1626.6,1626.6,Maintenance,Sedang,22.045083492511807
41,24,Laki-laki,82.3,185.2,Sangat Rendah,Menurunkan berat badan,1865.6,2238.8,1738.8,Defisit,Sedang,23.994840671925513
42,39,Perempuan,63.8,160.4,Sedang,Menaikkan berat badan,1284.5,1991.0,2491.0,Surplus,Tinggi,24.79773135739205
43,44,Perempuan,75.6,150.6,Sedang,Menaikkan berat badan,1316.3,2040.2,2540.2,Surplus,Sangat Tinggi,33.33280424120252
